load_mean,load_std,cross_mean,cross_std,cross_min,cross_max,zero_ratio,ratio_3_4,ratio_2_5,mse,run,seed
120.0,0.0,3.870967741935484,1.9187686825211459,0,14,0.01858064516129032,0.40761290322580646,0.7140645161290322,3.681673257023934,1,1000
120.0,0.0,3.870967741935484,1.9027642961495135,0,13,0.019225806451612905,0.40838709677419355,0.720516129032258,3.6205119667013532,2,1001
120.0,0.0,3.870967741935484,1.9147295856219988,0,12,0.02038709677419355,0.40503225806451615,0.7118709677419355,3.6661893860561916,3,1002
120.0,0.0,3.870967741935484,1.911222130265732,0,13,0.01690322580645161,0.4104516129032258,0.7166451612903226,3.6527700312174822,4,1003
120.0,0.0,3.870967741935484,1.8845712352932964,0,14,0.018193548387096775,0.41161290322580646,0.7298064516129033,3.5516087408949013,5,1004
120.0,0.0,3.870967741935484,1.9187686825211459,0,13,0.01767741935483871,0.40283870967741936,0.7210322580645161,3.6816732570239337,6,1005
120.0,0.0,3.870967741935484,1.9191721246726956,0,12,0.01935483870967742,0.4030967741935484,0.7161290322580646,3.6832216441207084,7,1006
120.0,0.0,3.870967741935484,1.90797875628721,0,13,0.01896774193548387,0.40941935483870967,0.7138064516129032,3.6403829344432883,8,1007
120.0,0.0,3.870967741935484,1.879909666393076,0,12,0.017548387096774195,0.4136774193548387,0.7229677419354839,3.534060353798127,9,1008
120.0,0.0,3.870967741935484,1.9087225162712123,0,12,0.018193548387096775,0.40606451612903227,0.7175483870967742,3.643221644120708,10,1009
120.0,0.0,3.870967741935484,1.917692421835647,0,13,0.019483870967741936,0.4041290322580645,0.7147096774193549,3.6775442247658696,11,1010
120.0,0.0,3.870967741935484,1.9015432694027845,0,13,0.016774193548387096,0.41716129032258065,0.7162580645161291,3.615866805411031,12,1011
120.0,0.0,3.870967741935484,1.9012039561368437,0,12,0.01832258064516129,0.41316129032258064,0.7179354838709677,3.6145764828303855,13,1012
120.0,0.0,3.870967741935484,1.9432253780576147,0,12,0.021161290322580645,0.39380645161290323,0.7104516129032258,3.77612486992716,14,1013
120.0,0.0,3.870967741935484,1.8944730390622113,0,13,0.016516129032258065,0.416,0.7218064516129032,3.589028095733611,15,1014
120.0,0.0,3.870967741935484,1.9144600095044233,0,12,0.017548387096774195,0.4152258064516129,0.7210322580645161,3.665157127991676,16,1015
120.0,0.0,3.870967741935484,1.8999140130605738,0,12,0.019870967741935485,0.40941935483870967,0.7175483870967742,3.609673257023934,17,1016
120.0,0.0,3.870967741935484,1.9061519332172356,0,13,0.018451612903225806,0.41251612903225804,0.7193548387096774,3.633415192507805,18,1017
120.0,0.0,3.870967741935484,1.9026964818870151,0,13,0.01638709677419355,0.40696774193548385,0.716,3.6202539021852242,19,1018
120.0,0.0,3.870967741935484,1.912167078067,0,12,0.01832258064516129,0.4176774193548387,0.7170322580645161,3.6563829344432883,20,1019
120.0,0.0,3.870967741935484,1.8889480855563923,0,12,0.01767741935483871,0.4034838709677419,0.7190967741935483,3.5681248699271597,21,1020
120.0,0.0,3.870967741935484,1.8954263369910787,0,11,0.017161290322580645,0.3987096774193548,0.7150967741935483,3.5926409989594177,22,1021
120.0,0.0,3.870967741935484,1.915133878649993,0,12,0.01858064516129032,0.4052903225806452,0.7140645161290322,3.667737773152966,23,1022
120.0,0.0,3.870967741935484,1.915605446005484,0,12,0.017806451612903226,0.4147096774193548,0.72,3.6695442247658696,24,1023
120.0,0.0,3.870967741935484,1.9280264936586686,0,12,0.019483870967741936,0.4016774193548387,0.7104516129032258,3.7172861602497402,25,1024
120.0,0.0,3.870967741935484,1.8903820314332944,0,12,0.018193548387096775,0.41419354838709677,0.7179354838709677,3.573544224765869,26,1025
120.0,0.0,3.870967741935484,1.8719997153961558,0,12,0.016,0.4135483870967742,0.7242580645161291,3.5043829344432886,27,1026
120.0,0.0,3.870967741935484,1.9226650771674763,0,12,0.018451612903225806,0.40619354838709676,0.7059354838709677,3.696640998959418,28,1027
120.0,0.0,3.870967741935484,1.88087034561767,0,13,0.017548387096774195,0.3993548387096774,0.7209032258064516,3.537673257023934,29,1028
120.0,0.0,3.870967741935484,1.8877864744596953,0,13,0.017806451612903226,0.40941935483870967,0.7228387096774194,3.563737773152966,30,1029
120.0,0.0,3.870967741935484,1.895698619776871,0,11,0.01690322580645161,0.40916129032258064,0.7183225806451613,3.593673257023934,31,1030
120.0,0.0,3.870967741935484,1.913448760811154,0,13,0.018193548387096775,0.39896774193548384,0.7139354838709677,3.66128616024974,32,1031
120.0,0.0,3.870967741935484,1.9070317331438096,0,13,0.01858064516129032,0.4067096774193548,0.7161290322580646,3.636770031217482,33,1032
120.0,0.0,3.870967741935484,1.9210537344312681,0,14,0.019483870967741936,0.3975483870967742,0.7139354838709677,3.690447450572321,34,1033
120.0,0.0,3.870967741935484,1.88826487145365,0,11,0.01935483870967742,0.4129032258064516,0.7206451612903226,3.5655442247658695,35,1034
120.0,0.0,3.870967741935484,1.8805273022328841,0,13,0.014193548387096775,0.4132903225806452,0.7265806451612903,3.536382934443289,36,1035
120.0,0.0,3.870967741935484,1.9147295856219988,0,12,0.019741935483870966,0.4074838709677419,0.7136774193548387,3.6661893860561916,37,1036
120.0,0.0,3.870967741935484,1.8824475400113814,0,12,0.015096774193548388,0.40993548387096773,0.7215483870967742,3.5436087408949013,38,1037
120.0,0.0,3.870967741935484,1.8969914292980834,0,12,0.01806451612903226,0.40219354838709676,0.7148387096774194,3.5985764828303854,39,1038
120.0,0.0,3.870967741935484,1.9034423058928378,0,13,0.01561290322580645,0.41135483870967743,0.7219354838709677,3.623092611862644,40,1039
120.0,0.0,3.870967741935484,1.9108845356632194,0,13,0.019096774193548386,0.41058064516129034,0.7150967741935483,3.6514797086368374,41,1040
120.0,0.0,3.870967741935484,1.9097362676198624,0,13,0.01935483870967742,0.40541935483870967,0.7123870967741935,3.647092611862643,42,1041
120.0,0.0,3.870967741935484,1.9013396887096856,0,12,0.01858064516129032,0.40580645161290324,0.7193548387096774,3.615092611862644,43,1042
120.0,0.0,3.870967741935484,1.9084520916324288,0,14,0.015870967741935485,0.4118709677419355,0.7209032258064516,3.642189386056192,44,1043
120.0,0.0,3.870967741935484,1.8868293165856733,0,12,0.019225806451612905,0.4096774193548387,0.7243870967741936,3.5601248699271593,45,1044
120.0,0.0,3.870967741935484,1.9081816286694715,0,11,0.018193548387096775,0.403741935483871,0.7091612903225807,3.6411571279916766,46,1045
120.0,0.0,3.870967741935484,1.8918148904172891,0,16,0.020129032258064516,0.4092903225806452,0.7132903225806452,3.5789635796045793,47,1046
120.0,0.0,3.870967741935484,1.9116271650911054,0,13,0.019225806451612905,0.4047741935483871,0.7126451612903226,3.654318418314256,48,1047
120.0,0.0,3.870967741935484,1.9149991237911073,0,12,0.01858064516129032,0.40516129032258064,0.7140645161290322,3.6672216441207084,49,1048
120.0,0.0,3.870967741935484,1.9233360715487837,0,14,0.019225806451612905,0.41561290322580646,0.7154838709677419,3.699221644120708,50,1049
120.0,0.0,3.870967741935484,1.913044111658946,0,12,0.02038709677419355,0.39922580645161293,0.7180645161290322,3.6597377731529663,51,1050
120.0,0.0,3.870967741935484,1.8892213020161708,0,13,0.01664516129032258,0.41393548387096774,0.7207741935483871,3.5691571279916756,52,1051
120.0,0.0,3.870967741935484,1.858232519286435,0,13,0.015741935483870966,0.4073548387096774,0.7269677419354839,3.4530280957336115,53,1052
